20190101,32.5
20190102,31.8
20190103,30.1
20190104,34.2
20190105,35.6
20190106,30.9
20190107,28.4
20190201,28.7
20190202,31.9
20190203,33.8
20190301,42.1
20190302,43.8
20190303,45.2
20190401,58.7
20190402,60.3
20190403,62.1
20190501,71.5
20190502,73.8
20190503,75.2
20190601,82.4
20190602,84.7
20190603,86.2
20190701,89.9
20190702,91.5
20190703,90.8
20190801,88.3
20190802,87.9
20190803,89.4
20190901,79.6
20190902,77.2
20190903,75.8
20191001,65.3
20191002,62.9
20191003,60.7
20191101,48.2
20191102,45.9
20191103,43.4
20191201,37.8
20191202,35.6
20191203,33.1
20200101,30.5
20200102,32.8
20200103,31.1
20200401,59.7
20200402,61.3
20200403,63.1
20200701,90.9
20200702,92.5
20200703,91.8
20201001,64.3
20201002,61.9
20201003,59.7
20210101,31.5
20210102,33.8
20210103,32.1
20210401,60.7
20210402,62.3
20210403,64.1
20210701,91.9
20210702,93.5
20210703,92.8
20211001,63.3
20211002,60.9
20211003,58.7
