20190101,31.5
20190102,30.8
20190103,29.1
20190104,33.2
20190105,34.6
20190106,29.9
20190107,27.4
20190201,27.7
20190202,30.9
20190203,32.8
20190301,41.1
20190302,42.8
20190303,44.2
20190401,57.7
20190402,59.3
20190403,61.1
20190501,70.5
20190502,72.8
20190503,74.2
20190601,81.4
20190602,83.7
20190603,85.2
20190701,88.9
20190702,90.5
20190703,89.8
20190801,87.3
20190802,86.9
20190803,88.4
20190901,78.6
20190902,76.2
20190903,74.8
20191001,64.3
20191002,61.9
20191003,59.7
20191101,47.2
20191102,44.9
20191103,42.4
20191201,36.8
20191202,34.6
20191203,32.1
20200101,29.5
20200102,31.8
20200103,30.1 
